Number,Reading,Meaning,phonetic
51,cinquante-et-un,50 and 1,S EH N K AA N T  AH T  AO N 
52,cinquante-deux,50 + 2,S EH N K AA N T  D OW 
53,cinquante-trois,50 + 3,S EH N K AA N T  T ZH W AA 
54,cinquante-quatre,50 + 4,S EH N K AA N T  K AA T ZH 
55,cinquante-cinq,50 + 5,S EH N K AA N T  S EH N K 
56,cinquante-six,50 + 6,S EH N K AA N T  S IY 
57,cinquante-sept,50 + 7,S EH N K AA N T  S AH P T 
58,cinquante-huit,50 + 8,S EH N K AA N T  HH UW IY T 
59,cinquante-neuf,50 + 9,S EH N K AA N T  N OW F 
60,soixante,60,S W AA K S AA N T 
61,soixante-et-un,60 and 1,S W AA K S AA N T  AH T  AO N 
62,soixante-deux,60 + 2,S W AA K S AA N T  D OW 
63,soixante-trois,60 + 3,S W AA K S AA N T  T ZH W AA 
64,soixante-quatre,60 + 4,S W AA K S AA N T  K AA T ZH 
65,soixante-cinq,60 + 5,S W AA K S AA N T  S EH N K 
66,soixante-six,60 + 6,S W AA K S AA N T  S IY 
67,soixante-sept,60 + 7,S W AA K S AA N T  S AH P T 
68,soixante-huit,60 + 8,S W AA K S AA N T  HH UW IY T 
69,soixante-neuf,60 + 9,S W AA K S AA N T  N OW F 
70,soixante-dix,60 + 10,S W AA K S AA N T  D IY 
71,soixante-et-onze,60 and 11,S W AA K S AA N T  AH T  AO N Z 
72,soixante-douze,60 + 12,S W AA K S AA N T  D UW Z 
73,soixante-treize,60 + 13,S W AA K S AA N T  T ZH AH IY Z 
74,soixante-quatorze,60 + 14,S W AA K S AA N T  K AA T OW ZH Z 
75,soixante-quinze,60 + 15,S W AA K S AA N T  K EH N Z 
76,soixante-seize,60 + 16,S W AA K S AA N T  S AH IY Z 
77,soixante-dix-sept,60 + 10 + 7,S W AA K S AA N T  D IY  S AH P T 
78,soixante-dix-huit,60 + 10 + 8,S W AA K S AA N T  D IY  HH UW IY T 
79,soixante-dix-neuf,60 + 10 + 9,S W AA K S AA N T  D IY  N OW F 
80,quatrevingts,4 ?? 20s,K AA T ZH AH V EH N G T 
81,quatrevingts-un,4 ?? 20 + 1,K AA T ZH AH V EH N G T  AO N 
82,quatrevingts-deux,4 ?? 20 + 2,K AA T ZH AH V EH N G T  D OW 
83,quatrevingts-trois,4 ?? 20 + 3,K AA T ZH AH V EH N G T  T ZH W AA 
84,quatrevingts-quatre,4 ?? 20 + 4,K AA T ZH AH V EH N G T  K AA T ZH 
85,quatrevingts-cinq,4 ?? 20 + 5,K AA T ZH AH V EH N G T  S EH N K 
86,quatrevingts-six,4 ?? 20 + 6,K AA T ZH AH V EH N G T  S IY 
87,quatrevingts-sept,4 ?? 20 + 7,K AA T ZH AH V EH N G T  S AH P T 
88,quatrevingts-huit,4 ?? 20 + 8,K AA T ZH AH V EH N G T  HH UW IY T 
89,quatrevingts-neuf,4 ?? 20 + 9,K AA T ZH AH V EH N G T  N OW F 
90,quatrevingts-dix,4 ?? 20 + 10,K AA T ZH AH V EH N G T  D IY 
91,quatrevingts-onze,4 ?? 20 + 11,K AA T ZH AH V EH N G T  AO N Z 
92,quatrevingts-douze,4 ?? 20 + 12,K AA T ZH AH V EH N G T  D UW Z 
93,quatrevingts-treize,4 ?? 20 + 13,K AA T ZH AH V EH N G T  T ZH AH IY Z 
94,quatrevingts-quatorze,4 ?? 20 + 14,K AA T ZH AH V EH N G T  K AA T OW ZH Z 
95,quatrevingts-quinze,4 ?? 20 + 15,K AA T ZH AH V EH N G T  K EH N Z 
96,quatrevingts-seize,4 ?? 20 + 16,K AA T ZH AH V EH N G T  S AH IY Z 
97,quatrevingts-dix-sept,4 ?? 20 + 10 + 7,K AA T ZH AH V EH N G T  D IY  S AH P T 
98,quatrevingts-dix-huit,4 ?? 20 + 10 + 8,K AA T ZH AH V EH N G T  D IY  HH UW IY T 
99,quatrevingts-dix-neuf,4 ?? 20 + 10 + 9,K AA T ZH AH V EH N G T  D IY  N OW F 
100,cent,100,S 
