lang,family,subfamily,usable?,grandmother/father/son/daughter,in-laws,older sister/brother,mother's/father's siblings,stepmother/father/son/daughter
Xhosa,,,0,,,,,
Yagua,Peba-Yaguan,,0,,,,,
Yaminahua,Panoan,,0,,,,,
Yavitero,Arawakan,,0,,,,,
Yiddish,Indo-European,Germanic,1,null,null,k-b,k-b,null
Yoruba,,,0,,,,,
Zamboanga Chavacano,,,0,,,,,
Zazaki,,,0,,,,,
Zeelandic,,,0,,,,,
Zhuang,,,0,,,,,
Zulu,,,0,,,,,
Zuni,Isolate,,0,,,,,
